readName,AGG,CGG,totalLength
m54006_190802_093121/25100392/ccs/295_383,2,27,88
m54006_190802_093121/31065011/ccs/293_381,2,27,88
m54006_190802_093121/32178274/ccs/295_383,2,27,88
m54006_190802_093121/4260405/ccs/295_383,2,27,88
m54006_190802_093121/8127200/ccs/295_383,2,27,88
m54006_190802_093121/8716421/ccs/295_383,2,27,88
m54006_190802_093121/13500831/ccs/295_383,2,27,88
m54006_190802_093121/14746059/ccs/295_383,2,27,88
m54006_190802_093121/17498416/ccs/296_384,2,27,88
m54006_190802_093121/20119738/ccs/295_383,2,27,88
m54006_190802_093121/21562342/ccs/295_383,2,27,88
m54006_190802_093121/23004093/ccs/295_383,2,27,88
m54006_190802_093121/46399787/ccs/295_383,2,27,88
m54006_190802_093121/49610873/ccs/295_383,2,27,88
m54006_190802_093121/49808238/ccs/295_383,2,27,88
m54006_190802_093121/53216047/ccs/295_383,2,27,88
m54006_190802_093121/36766593/ccs/295_383,2,27,88
m54006_190802_093121/37748806/ccs/295_383,2,27,88
m54006_190802_093121/38470157/ccs/295_383,2,27,88
m54006_190802_093121/66257380/ccs/295_383,2,27,88
m54006_190802_093121/67829948/ccs/295_383,2,27,88
m54006_190802_093121/69600086/ccs/295_383,2,27,88
m54006_190802_093121/69665223/ccs/295_383,2,27,88
m54006_190802_093121/54789079/ccs/295_383,2,27,88
m54006_190802_093121/54854134/ccs/295_383,2,27,88
m54006_190802_093121/56689539/ccs/296_384,2,27,88
m54006_190802_093121/59769507/ccs/295_383,2,27,88
m54006_190802_093121/60555842/ccs/295_383,2,27,88
m54006_190802_093121/60556024/ccs/295_383,2,27,88
m54006_190802_093121/27459804/ccs/295_383,2,27,88
m54006_190802_093121/28180731/ccs/295_383,2,27,88
m54006_190802_093121/29229664/ccs/295_383,2,27,88
m54006_190802_093121/30016053/ccs/295_383,2,27,88
m54006_190802_093121/32310212/ccs/295_383,2,27,88
m54006_190802_093121/10944872/ccs/295_383,2,27,88
m54006_190802_093121/11404165/ccs/306_394,2,27,88
m54006_190802_093121/12387102/ccs/295_383,2,27,88
m54006_190802_093121/13369679/ccs/296_384,2,27,88
m54006_190802_093121/13828265/ccs/295_383,2,27,88
m54006_190802_093121/14614953/ccs/295_383,2,27,88
m54006_190802_093121/18416342/ccs/295_383,2,27,88
m54006_190802_093121/21889951/ccs/295_383,2,27,88
m54006_190802_093121/22741261/ccs/295_383,2,27,88
m54006_190802_093121/45416625/ccs/295_383,2,27,88
m54006_190802_093121/46792833/ccs/295_383,2,27,88
m54006_190802_093121/47907383/ccs/294_382,2,27,88
m54006_190802_093121/51839900/ccs/295_383,2,27,88
m54006_190802_093121/52560678/ccs/295_383,2,27,88
m54006_190802_093121/53281360/ccs/295_383,2,27,88
m54006_190802_093121/53346567/ccs/295_383,2,27,88
m54006_190802_093121/37224710/ccs/295_383,2,27,88
m54006_190802_093121/41812656/ccs/295_383,2,27,88
m54006_190802_093121/41878400/ccs/295_383,2,27,88
m54006_190802_093121/42336620/ccs/295_383,2,27,88
m54006_190802_093121/43057894/ccs/295_383,2,27,88
m54006_190802_093121/65273952/ccs/296_384,2,27,88
m54006_190802_093121/66060879/ccs/297_385,2,27,88
m54006_190802_093121/67306469/ccs/296_384,2,27,88
m54006_190802_093121/68354523/ccs/295_383,2,27,88
m54006_190802_093121/71762472/ccs/295_383,2,27,88
m54006_190802_093121/73138601/ccs/295_383,2,27,88
m54006_190802_093121/74515022/ccs/295_383,2,27,88
m54006_190802_093121/57541116/ccs/296_384,2,27,88
m54006_190802_093121/60621159/ccs/296_384,2,27,88
m54006_190802_093121/60883538/ccs/295_383,2,27,88
m54006_190802_093121/64029231/ccs/295_383,2,27,88
m54006_190802_093121/57475297/ccs/294_382,2,27,88
m54006_190802_093121/51249381/ccs/294_383,2,27,89
m54006_190802_093121/52625787/ccs/296_385,2,27,89
m54006_190802_093121/39911918/ccs/295_384,2,27,89
m54006_190802_093121/65733108/ccs/294_383,2,27,89
m54006_190802_093121/34603372/ccs/295_385,2,27,90
m54006_190802_093121/30343405/ccs/295_386,2,28,91
m54006_190802_093121/51708160/ccs/295_386,2,28,91
m54006_190802_093121/44105874/ccs/295_386,2,28,91
m54006_190802_093121/55640905/ccs/295_386,2,28,91
m54006_190802_093121/7340389/ccs/295_386,2,28,91
m54006_190802_093121/9044300/ccs/295_386,2,28,91
m54006_190802_093121/10289547/ccs/296_387,2,28,91
m54006_190802_093121/69402791/ccs/295_386,2,28,91
m54006_190802_093121/14876938/ccs/299_390,2,27,91
m54006_190802_093121/55837032/ccs/295_387,3,26,92
m54006_190802_093121/41287986/ccs/295_388,2,28,93
m54006_190802_093121/11076342/ccs/295_389,2,29,94
m54006_190802_093121/36700908/ccs/300_394,2,29,94
m54006_190802_093121/10551571/ccs/297_392,3,26,95
m54006_190802_093121/70124439/ccs/296_1236,1,307,940
m54006_190802_093121/64880817/ccs/295_1264,2,310,969
m54006_190802_093121/29163904/ccs/295_1274,1,321,979
m54006_190802_093121/32637140/ccs/402_1401,1,331,999
m54006_190802_093121/10158837/ccs/296_1313,1,326,1017
m54006_190802_093121/25691041/ccs/296_1319,2,336,1023
m54006_190802_093121/43647136/ccs/295_1320,1,337,1025
m54006_190802_093121/54920075/ccs/294_1353,1,342,1059
m54006_190802_093121/48627873/ccs/295_1359,1,346,1064
m54006_190802_093121/17498305/ccs/295_1378,1,353,1083
m54006_190802_093121/17761240/ccs/296_1405,1,356,1109
